"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine";"sep";"dec"
"east midlands";2;2019;0;0.87343225258249;0.87343225258249;0.925553485428792;0.936527777777778;"MMR";";";"."
"west midlands";1;2005;0.693;0.914;0.932835138404769;0.943918968038789;0.958631240190872;"MMR";";";"."
"west midlands";1;2006;0.7035;0.924;0.936567675691122;0.93911485371604;0.950598654264793;"MMR";";";"."
"west midlands";1;2007;0.689966178128523;0.938;0.943802972093023;0.943058066360978;0.946966296169938;"MMR";";";"."
"west midlands";1;2008;0.695627889060092;0.919954904171364;0.95607945603087;0.94949824293381;0.951172913343966;"MMR";";";"."
"west midlands";1;2009;0.698949393311631;0.927503852080123;0.950602409638554;0.96127904921649;0.956618962432916;"MMR";";";"."
"west midlands";1;2010;0.706239480644386;0.931932524415508;0.95117300837271;0.959390862944162;0.9677800297;"MMR";";";"."
"west midlands";1;2011;0.712613544051399;0.941652640859181;0.958830501777953;0.965978021978022;0.970430107526882;"MMR";";";"."
"west midlands";1;2012;0.720282818259144;0.950151392068533;0.964012711500472;0.972819743204936;0.970650473824639;"MMR";";";"."
"west midlands";1;2013;0.719096829932877;0.960377091012192;0.966014008277619;0.976173087456637;0.978090083798883;"MMR";";";"."
"west midlands";1;2014;0.719872933460855;0.958795773243836;0.973778763091507;0.97741935483871;0.979940493329494;"MMR";";";"."
"west midlands";1;2015;0.717887872166075;0.959830577947807;0.970134324092598;0.981657333008684;0.981236104935527;"MMR";";";"."
"west midlands";1;2016;0.724410843075;0.957183829554766;0.970528158739422;0.978811956110481;0.984043456119504;"MMR";";";"."
"west midlands";1;2017;0.7168707426;0.9658811241;0.967545787545788;0.976590961940935;0.981449183446964;"MMR";";";"."
"west midlands";1;2018;0.714889588575;0.9558276568;0.97067820080736;0.973649333437281;0.978486767332359;"MMR";";";"."
"west midlands";1;2019;0.7134481554;0.9531861181;0.96410435531176;0.97351956064476;0.97725568607848;"MMR";";";"."
"west midlands";2;2005;0;0.804895142090409;0.804895142090409;0.870728731103039;0.880193256498898;"MMR";";";"."
"west midlands";2;2006;0;0.80972891289318;0.80972891289318;0.876490634816413;0.87783993526513;"MMR";";";"."
"west midlands";2;2007;0;0.821834664393917;0.821834664393917;0.881749093636665;0.88364836190006;"MMR";";";"."
"west midlands";2;2008;0;0.841773643204502;0.841773643204502;0.894918438719872;0.888949278713253;"MMR";";";"."
"west midlands";2;2009;0;0.834578313253012;0.834578313253012;0.916609226982573;0.902224956085008;"MMR";";";"."
"west midlands";2;2010;0;0.852720716239741;0.852720716239741;0.908781725888325;0.924090880707322;"MMR";";";"."
"west midlands";2;2011;0;0.867755827736073;0.867755827736073;0.904461538461538;0.916075268817204;"MMR";";";"."
"west midlands";2;2012;0;0.874737610581465;0.874737610581465;0.918547607136902;0.90774772288159;"MMR";";";"."
"west midlands";2;2013;0;0.871566380133715;0.871566380133715;0.924270586087274;0.921826117318436;"MMR";";";"."
"west midlands";2;2014;0;0.879687332772724;0.879687332772724;0.922003395585739;0.928189845474614;"MMR";";";"."
"west midlands";2;2015;0;0.881468991140326;0.881468991140326;0.930426913399886;0.925882614495331;"MMR";";";"."
"west midlands";2;2016;0;0.873060986285381;0.873060986285381;0.923030646992055;0.934321846885079;"MMR";";";"."
"west midlands";2;2017;0;0.856886446886447;0.856886446886447;0.918377645143787;0.926182019977802;"MMR";";";"."
"west midlands";2;2018;0;0.861832738693465;0.861832738693465;0.907907538785375;0.920995291443416;"MMR";";";"."
